,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
127,127,محل للإيجار في حي ، طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,"40,000 ريال",126 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-طريق-العزيزية-حي-الدار-البيضاء-الرياض-الرياض-3452916,غرب,60 م, 5 سنة
128,128,محل للإيجار في حي ، طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,"70,000 ريال",265 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-طريق-العزيزية-حي-الدار-البيضاء-الرياض-الرياض-3298803,شمال,60 م, 5 سنة
129,129,محل للإيجار في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,"100,000 ريال",300 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-فتح-مكة-حي-بدر-الرياض-الرياض-3542225,جنوب شرقي,,
130,130,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"18,000 ريال",48 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3269574,شمال,40 م, 10 سنة
131,131,محل للإيجار في شارع اسطنبول ، حي السلي ، الرياض ، الرياض,"14,000 ريال",36 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-اسطنبول-حي-السلي-الرياض-الرياض-3246868,شرق,,
132,132,محل للإيجار في شارع الترمذي ، حي بدر ، الرياض ، الرياض,"350,000 ريال",840 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الترمذي-حي-بدر-الرياض-الرياض-3233582,شرق,35 م,جديد
133,133,محل للإيجار في شارع عبدالقادر الجزائري ، حي الدار البيضاء ، الرياض ، الرياض,"16,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالقادر-الجزائري-حي-الدار-البيضاء-الرياض-الرياض-3139611,جنوب,35 م, 6 سنة
134,134,محل للإيجار في شارع روض الجوار ، حي الدار البيضاء ، الرياض ، الرياض,"25,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-روض-الجوار-حي-الدار-البيضاء-الرياض-الرياض-2729635,جنوب,30 م, 2 سنة
135,135,محل للإيجار في طريق الخرج ، حي المدينة الصناعية الجديدة ، الرياض ، الرياض,"35,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المدينة-الصناعية-الجديدة/طريق-الخرج-حي-المدينة-الصناعية-الجديدة-الرياض-الرياض-2669254,غرب,,
136,136,محل للإيجار في حي العزيزية ، الرياض ، الرياض,"90,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-الرياض-2736505,غرب,60 م, 6 سنة
137,137,محل للإيجار في شارع اسطنبول ، حي السلي ، الرياض,"135,000 ريال",360 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-اسطنبول-حي-السلي-الرياض-991872,شرق,60 م,جديد
138,138,محل للإيجار في الرياض ، حي السلي ، الرياض,"75,000 ريال",200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/الرياض-حي-السلي-الرياض-2322338,شرق,60 م,جديد
139,139,محل للإيجار في طريق فتح مكة ، حي الدار البيضاء ، الرياض ، الرياض,"60,000 ريال",220 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/طريق-فتح-مكة-حي-الدار-البيضاء-الرياض-الرياض-3288445,شمال,80 م,جديد
140,140,محل للإيجار في شارع ابن حجر ، حي الدار البيضاء ، الرياض ، الرياض,"12,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ابن-حجر-حي-الدار-البيضاء-الرياض-الرياض-3178096,شمال,35 م,جديد
141,141,محل للإيجار في شارع الامام مسلم ، حي المروة ، الرياض ، الرياض,"84,500 ريال",130 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-الامام-مسلم-حي-المروة-الرياض-الرياض-3474301,غرب,60 م, 2 سنة
142,142,محل للإيجار في حي الدار البيضاء ، الرياض ، الرياض,"15,000 ريال",44 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-الدار-البيضاء-الرياض-الرياض-2419802,شمال,30 م, 12 سنة
