,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
78,78,محل للإيجار في طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"60,000 ريال",90 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-2929794,جنوب,40 م, 4 سنة
79,79,محل للإيجار في شارع ينبع ، حي ظهرة لبن ، الرياض ، الرياض,"20,000 ريال",64 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-ينبع-حي-ظهرة-لبن-الرياض-الرياض-3519992,جنوب,40 م, 5 سنة
80,80,"محل للإيجار في شارع نجم الدين الأيوبي, طويق, الرياض","60,000 ريال",550 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-نجم-الدين-الأيوبي-طويق-الرياض-603176,شرق,60 م,جديد
81,81,محل للإيجار في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,"18,000 ريال",11 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-خديجة-بنت-خويلد-حي-طويق-الرياض-الرياض-3742274,جنوب,,
82,82,محل للإيجار في شارع الطائف ، حي ظهرة لبن ، الرياض ، الرياض,"45,000 ريال",56 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الطائف-حي-ظهرة-لبن-الرياض-الرياض-3729200,شمال,40 م, 4 سنة
83,83,محل للإيجار في حي ، شارع التوحيد ، حي ظهرة نمار ، الرياض ، الرياض,"50,000 ريال",1800 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/حي-شارع-التوحيد-حي-ظهرة-نمار-الرياض-الرياض-3482687,شمال,30 م,جديد
84,84,محل للإيجار في شارع الاجدع البلوي ، حي السويدي ، الرياض ، الرياض,"5,000 ريال",24 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-الاجدع-البلوي-حي-السويدي-الرياض-الرياض-2675275,شرق,33 م, 25 سنة
85,85,محل للإيجار في الرياض ، حي طويق ، الرياض,"100,000 ريال",218 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/الرياض-حي-طويق-الرياض-3332397,غرب,30 م, 2 سنة
86,86,محل للإيجار في حي ظهرة لبن ، الرياض ، الرياض,"40,000 ريال",100 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/حي-ظهرة-لبن-الرياض-الرياض-3757706,شمال,40 م, 4 سنة
87,87,محل للإيجار في طريق الامير عبدالرحمن بن سعود ، حي طويق ، الرياض ، الرياض,"60,000 ريال",130 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/طريق-الامير-عبدالرحمن-بن-سعود-حي-طويق-الرياض-الرياض-3524760,شمال,40 م,جديد
88,88,محل للإيجار في شارع ينبع ، حي ظهرة لبن ، الرياض ، الرياض,"60,000 ريال",250 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-ينبع-حي-ظهرة-لبن-الرياض-الرياض-3463406,شمال,35 م,جديد
89,89,محل للإيجار في شارع الاخلاص ، حي طويق ، الرياض ، الرياض,"30,000 ريال",110 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الاخلاص-حي-طويق-الرياض-الرياض-3722865,شمال,60 م,جديد
