,shoptitle,prices,areaa,links,front,street_width,age
32,محل للإيجار في حي ، شارع عمر المختار ، حي العمل ، الرياض ، الرياض,"120,000 ريال",124 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/حي-شارع-عمر-المختار-حي-العمل-الرياض-الرياض-3210608,جنوب,,
33,محل للإيجار في حي ، شارع منفوحة ، حي منفوحة الجديدة ، الرياض ، الرياض,"50,000 ريال",100 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/حي-شارع-منفوحة-حي-منفوحة-الجديدة-الرياض-الرياض-3705897,جنوب شرقي,25 م, 27 سنة
34,محل للإيجار في طريق الملك فهد الفرعي ، حي الوشام ، الرياض ، الرياض,"29,100 ريال",77 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الوشام/طريق-الملك-فهد-الفرعي-حي-الوشام-الرياض-الرياض-2851724,شرق,40 م, 20 سنة
35,محل للإيجار في شارع عمار بن ياسر -رضي الله عنهما- ، حي غبيرة ، الرياض ، الرياض,"34,000 ريال",48 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-غبيرة/شارع-عمار-بن-ياسر--رضي-الله-عنهما--حي-غبيرة-الرياض-الرياض-3527195,شمال,,
36,محل للإيجار في حي ، شارع الأمير عبدالعزيز بن مساعد بن جلوي ، حي المربع ، الرياض ، الرياض,"78,200 ريال",516 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/حي-شارع-الأمير-عبدالعزيز-بن-مساعد-بن-جلوي-حي-المربع-الرياض-الرياض-3477302,غرب,30 م, 2 سنة
37,محل للإيجار في الطريق الدائري الشرقي الفرعي ، حي الربوة ، الرياض ، الرياض,"935,000 ريال",1100 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/الطريق-الدائري-الشرقي-الفرعي-حي-الربوة-الرياض-الرياض-3710972,شرق,100 م, 5 سنة
38,محل للإيجار في شارع معن بن زائدة ، حي المنصورة ، الرياض ، الرياض,"50,000 ريال",58 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المنصورة/شارع-معن-بن-زائدة-حي-المنصورة-الرياض-الرياض-3581453,شمال شرقي,40 م,جديد
39,محل للإيجار في شارع الامير محمد بن سعود بن فيصل ، حي الخالدية ، الرياض ، الرياض,"160,000 ريال",1000 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/شارع-الامير-محمد-بن-سعود-بن-فيصل-حي-الخالدية-الرياض-الرياض-1933380,غرب,35 م, 15 سنة
40,محل للإيجار في الطريق الدائري الجنوبي ، حي منفوحة ، الرياض ، الرياض,"27,000 ريال",80 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة/الطريق-الدائري-الجنوبي-حي-منفوحة-الرياض-الرياض-3716889,جنوب,,
41,محل للإيجار في حي اليمامة ، الرياض ، الرياض,"14,000 ريال",35 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-اليمامة/حي-اليمامة-الرياض-الرياض-3535973,جنوب,20 م, 5 سنة
