,Unnamed: 0,Unnamed: 0.1,shoptitle,prices,areaa,links,front,street_width,age
260,260,260,محل للإيجار في حي ، طريق الملك فهد ، حي العارض ، الرياض ، الرياض,"470,000 ريال",320 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-طريق-الملك-فهد-حي-العارض-الرياض-الرياض-3290110,3 شوارع,,
261,261,261,محل للإيجار في شارع البرقاء ، حي الورود ، الرياض ، الرياض,"3,000,000 ريال",700 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الورود/شارع-البرقاء-حي-الورود-الرياض-الرياض-3518746,شمال شرقي,100 م, 22 سنة
262,262,262,محل للإيجار في شارع الحوطة ، حي الملقا ، الرياض ، الرياض,"250,000 ريال",255 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الملقا/شارع-الحوطة-حي-الملقا-الرياض-الرياض-3325769,جنوب شرقي,35 م,جديد
263,263,263,محل للإيجار في شارع حائل ، حي النزهة ، الرياض ، الرياض,"170,000 ريال",62 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النزهة/شارع-حائل-حي-النزهة-الرياض-الرياض-3336129,شرق,,
264,264,264,محل للإيجار في شارع احمد بن اسماعيل الناشري ، حي العارض ، الرياض ، الرياض,"50,000 ريال",80 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/شارع-احمد-بن-اسماعيل-الناشري-حي-العارض-الرياض-الرياض-3196990,جنوب شرقي,45 م, 3 سنة
265,265,265,محل للإيجار في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,"25,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-عبدالله-بن-العاص-حي-العارض-الرياض-الرياض-3233436,شمال,35 م,جديد
266,266,266,محل للإيجار في طريق مكة المكرمة الفرعي ، حي المؤتمرات ، الرياض ، الرياض,"200,000 ريال",200 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المؤتمرات/طريق-مكة-المكرمة-الفرعي-حي-المؤتمرات-الرياض-الرياض-2430387,شمال,5 م,جديد
267,267,267,محل للإيجار في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,"18,000 ريال",41 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-عبدالله-بن-العاص-حي-العارض-الرياض-الرياض-3521494,جنوب,30 م, 4 سنة
268,268,268,محل للإيجار في حي العارض ، الرياض ، الرياض,"550,000 ريال",340 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-العارض-الرياض-الرياض-3417812,جنوب,80 م,جديد
269,269,269,محل للإيجار في شارع هشام بن عبدالملك ، حي المرسلات ، الرياض ، الرياض,"73,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المرسلات/شارع-هشام-بن-عبدالملك-حي-المرسلات-الرياض-الرياض-3451778,جنوب,60 م, 15 سنة
270,270,270,محل للإيجار في شارع الأمير مساعد بن عبدالعزيز ، حي السليمانية ، الرياض ، الرياض,"50,000 ريال",52 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-السليمانية/شارع-الأمير-مساعد-بن-عبدالعزيز-حي-السليمانية-الرياض-الرياض-2784694,شمال,20 م,جديد
271,271,271,محل للإيجار في طريق الملك عبدالله الفرعي ، حي المغرزات ، الرياض ، الرياض,"700,000 ريال",788 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المغرزات/طريق-الملك-عبدالله-الفرعي-حي-المغرزات-الرياض-الرياض-3186544,جنوب,60 م, 17 سنة
272,272,272,محل للإيجار في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي العقيق ، الرياض ، الرياض,"40,000 ريال",52 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العقيق/طريق-الأمير-محمد-بن-سلمان-بن-عبدالعزيز-حي-العقيق-الرياض-الرياض-3103756,جنوب,80 م, 11 سنة
273,273,273,محل للإيجار في شارع الامير ناصر بن فرحان ، حي صلاح الدين ، الرياض ، الرياض,"90,000 ريال",76 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الامير-ناصر-بن-فرحان-حي-صلاح-الدين-الرياض-الرياض-2859192,شرق,,
274,274,274,محل للإيجار في شارع العليا ، حي الصحافة ، الرياض ، الرياض,"150,000 ريال",112 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الصحافة/شارع-العليا-حي-الصحافة-الرياض-الرياض-2985824,شرق,40 م, 10 سنة
275,275,275,محل للإيجار في حي الياسمين ، الرياض ، الرياض,"5,000,000 ريال",5000 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الياسمين/حي-الياسمين-الرياض-الرياض-2265903,3 شوارع,60 م,جديد
276,276,276,محل للإيجار في حي الخير ، الرياض ، الدرعية,"30,000 ريال",40 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-بنبان/حي-الخير-الرياض-الدرعية-3013073,جنوب,30 م,جديد
277,277,277,محل للإيجار في شارع الامير احمد بن عبدالعزيز ، حي الملك فهد ، الرياض ، الرياض,"120,000 ريال",160 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الملك-فهد/شارع-الامير-احمد-بن-عبدالعزيز-حي-الملك-فهد-الرياض-الرياض-3039351,شرق,45 م, 15 سنة
278,278,278,محل للإيجار في شارع البحر الأحمر ، حي الوادي ، الرياض ، الرياض,"30,000 ريال",30 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الوادي/شارع-البحر-الأحمر-حي-الوادي-الرياض-الرياض-2813916,شمال,35 م, 25 سنة
279,279,279,محل للإيجار في طريق الملك عبدالله ، حي الرائد ، الرياض ، الرياض,"39,000 ريال",40 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-جامعة-الملك-سعود/طريق-الملك-عبدالله-حي-الرائد-الرياض-الرياض-2849060,شمال,80 م, 10 سنة
280,280,280,محل للإيجار في طريق عثمان بن عفان ، حي الفلاح ، الرياض,"50,000 ريال",64 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الفلاح/طريق-عثمان-بن-عفان-حي-الفلاح-الرياض-1870590,غرب,80 م, 15 سنة
281,281,281,محل للإيجار في شارع ابي بكر الصديق الفرعي ، حي المرسلات ، الرياض,"50,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المرسلات/شارع-ابي-بكر-الصديق-الفرعي-حي-المرسلات-الرياض-1451014,شرق,,
282,282,282,محل للإيجار في الطريق الدائري الشمالي الفرعي ، حي التعاون ، الرياض,"1,300 ريال",1440 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-التعاون/الطريق-الدائري-الشمالي-الفرعي-حي-التعاون-الرياض-1656144,شمال شرقي,100 م, 8 سنة
